STATE,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,PROGRAM_CURRENT_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,PROGRAM_OTHER_EXPENDITURE,PROGRAM_NON_ELSEC_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Massachusetts,2009,15298022,1181681,5974489,8141852,15174814,13903630,8885949,4626112,391569,65168,589413
Michigan,2009,19616665,2094714,10130740,7391211,19992550,16307258,9422685,6354021,530552,335306,1280455
Minnesota,2009,10353784,575703,6590788,3187293,11193640,8912506,5815987,2712430,384089,418928,1187008
Mississippi,2009,4392101,675576,2334363,1382162,4552756,3966274,2317710,1392119,256445,19470,493773
Missouri,2009,9472520,758650,3927189,4786681,10227305,8562817,5175127,3023041,364649,171328,1120105
Montana,2009,1607935,195705,765177,647053,1622485,1424480,855803,509899,58778,8195,158151
Nebraska,2009,3522481,297732,1182776,2041973,3523803,2934813,1887427,905681,141705,3290,488293
Nevada,2009,4442101,425133,2272415,1744553,4577881,3629764,2145779,1364083,119902,22292,633545
New Hampshire,2009,2816162,146867,1002239,1667056,2757401,2436711,1546316,822081,68314,6506,112359
New Jersey,2009,26510413,1014556,10401527,15094330,26145334,23224477,13800343,8687138,736996,215800,1499241
New Mexico,2009,3703477,519973,2615320,568184,3945515,3103038,1807514,1167618,127906,4111,784529
New York,2009,55885116,3197833,25768345,26918938,57851481,50302853,35195372,14079990,1027491,387746,5463718
North Carolina,2009,15410564,1377661,8229140,5803763,14868070,12469165,7943541,3848021,677603,74006,1647148
North Dakota,2009,1150142,160294,407374,582474,1137260,960794,579830,310316,70648,8087,95977
Ohio,2009,22779344,1531263,10226228,11021853,22427481,18722198,10734314,7347959,639925,289484,2552105
Oklahoma,2009,6029807,768972,3014993,2245842,5941799,5082185,2836912,1895590,349683,228184,568720
Oregon,2009,6158756,656298,3117315,2385143,6715011,5603866,3291310,2121378,191178,23521,803096
Pennsylvania,2009,26755585,1811141,9858461,15085983,27328680,21273558,12803821,7637090,832647,322988,2411908
Rhode Island,2009,2179714,206225,765069,1208420,2171376,2045081,1224158,773039,47884,42609,24161
South Carolina,2009,7669733,734602,3654658,3280473,8427391,6674119,3854229,2463391,356499,41923,1318784
South Dakota,2009,1258876,201889,412798,644189,1273527,1077594,645912,379946,51736,5036,154459
Tennessee,2009,8112895,870374,3800870,3441651,8611178,7667511,4809809,2480290,377412,84052,652210
Texas,2009,48087531,4913841,19708771,23464919,53575273,39686005,23895853,13799383,1990769,298639,9297597
Utah,2009,4238943,535223,2224007,1479713,4419750,3384282,2169434,1008636,206212,104113,821593
Vermont,2009,1683034,102453,1336424,244157,1661019,1387293,859433,489015,38845,10255,64170
Virginia,2009,15251481,914507,6317714,8019260,15510318,13505199,8194237,4813706,497256,77602,1418914
Washington,2009,12025012,1385421,7146416,3493175,12240632,9894819,5984072,3464921,445826,63581,1818982
West Virginia,2009,3097212,355325,1793917,947970,3121728,2922539,1759397,994305,168837,28147,157049
Wisconsin,2009,10991081,1258519,4785070,4947492,10880480,9605409,5857285,3382519,365605,107690,648807
Wyoming,2009,1675761,108333,945765,621663,1658156,1267400,744877,482641,39882,7283,372507
Alabama,2010,7281058,1134111,3800128,2346819,7647571,6653096,3900492,2308399,444205,111334,729720
Alaska,2010,2230338,366970,1356673,506695,2371251,2071690,1151630,856333,63727,7907,229874
Arizona,2010,8828122,1579806,3139588,4108728,8812967,7565820,4223152,2949514,393154,7619,713810
Arkansas,2010,5069272,787738,3677112,604422,5520387,4346091,2521528,1595730,228833,410920,595456
California,2010,67356719,9715980,34173911,23466828,71227111,57576781,34657275,20704755,2214751,1341405,7150441
Colorado,2010,8793676,714230,3817875,4261571,8914338,7317424,4232076,2807231,278117,52672,1011988
Connecticut,2010,9726922,818573,3238401,5669948,9542108,8302401,5242817,2768520,291064,40536,823081
Delaware,2010,1733458,180584,992422,560452,1758988,1461302,901200,499586,60516,18812,192826
District of Columbia,2010,1195934,80585,0,1115349,1290048,977079,526469,425379,25231,15606,297363
Florida,2010,26231141,4200103,8216582,13814456,27267009,22966861,13869921,8069310,1027630,546237,2944085
Georgia,2010,17839851,2598486,6739406,8501959,17834488,15690826,9841382,5059938,789506,33011,1814143
Hawaii,2010,2564856,382400,2093300,89156,2215458,2118013,1321657,697833,98523,24528,72917
Idaho,2010,2177999,444112,1231537,502350,2098737,1895170,1159932,638912,96326,3831,135181
Illinois,2010,28253620,3809939,8696107,15747574,28560306,24557776,14668228,9146295,743253,217826,1944264
Indiana,2010,14023240,1477561,7342841,5202838,11502534,9869013,5746633,3696608,425772,67105,929416
Iowa,2010,5744872,728361,2217889,2798622,5941449,4796274,2970150,1622316,203808,22528,811476
Kansas,2010,5454128,673692,2860999,1919437,5979429,4581673,2837948,1529158,214567,4720,1182167
Kentucky,2010,6881951,1059915,3662243,2159793,7092071,6083718,3616584,2117063,350071,65965,747498
Louisiana,2010,8091029,1549575,3348043,3193411,8125021,7061707,4136550,2543542,381615,20575,788979
Maine,2010,2721365,320917,1083913,1316535,2680693,2375783,1421800,874381,79602,27051,157510
Maryland,2010,13327770,1004498,5544725,6778547,13205691,11653554,7147880,4047487,458187,22964,1107922
Massachusetts,2010,14919763,1092892,5742989,8083882,14857823,13377717,8479433,4512401,385883,56174,807802
Michigan,2010,19393461,2383817,9694417,7315227,19967017,16218538,9457233,6228939,532366,346959,1201729
Minnesota,2010,10383935,1245368,5978487,3160080,10564774,8563623,5676045,2504618,382960,412128,949938
Mississippi,2010,4466377,945973,2109089,1411315,4504257,3991730,2337184,1399684,254862,18162,421984
Missouri,2010,9587703,1430854,3471772,4685077,10139784,8645265,5237387,3043213,364665,185015,926566
Montana,2010,1623971,256049,744931,622991,1642886,1487386,895727,531730,59929,8885,110195
Nebraska,2010,3720560,465728,1184996,2069836,3640199,3165946,2089854,927065,149027,3131,371348
Nevada,2010,4262471,358496,2341891,1562084,4260869,3595622,2117135,1359161,119326,23522,381094
New Hampshire,2010,2906573,185175,1060998,1660400,2856965,2517882,1612216,837094,68572,7538,131261
New Jersey,2010,26676217,2386865,9059511,15229841,26736651,24207242,14481471,8958765,767006,195523,1154089
New Mexico,2010,3638606,753816,2307843,576947,3814058,3110065,1800983,1178045,131037,4005,634137
New York,2010,55453300,3694050,23111427,28647823,60067253,51825942,36628097,14152383,1045462,387756,6125749
North Carolina,2010,16621268,1927843,7451302,7242123,14162497,12145710,7637844,3873929,633937,71075,1192652
North Dakota,2010,1308214,277985,552616,477613,1267426,1044144,627378,342204,74562,6228,142873
Ohio,2010,23247907,2310440,9987732,10949735,22701333,19090533,10976072,7468941,645520,278189,2451038
Oklahoma,2010,5778507,768319,2658186,2352002,5971651,5160581,2900568,1901671,358342,265988,471937
Oregon,2010,6219779,813110,2947614,2459055,6398065,5496105,3246437,2054025,195643,23748,573818
Pennsylvania,2010,27883991,2977089,9430947,15475955,28231191,22063077,13442543,7774897,845637,338127,2208448
Rhode Island,2010,2207123,247217,736525,1223381,2187163,2044651,1238257,758963,47431,41811,40673
South Carolina,2010,7755419,1058473,3377539,3319407,8242553,6592874,3797945,2445636,349293,40261,1203253
South Dakota,2010,1292742,250554,398601,643587,1281632,1095282,660064,382212,53006,4633,146273
Tennessee,2010,8405025,1094293,3834174,3476558,8760367,7834214,4934044,2516326,383844,83724,627390
Texas,2010,50559500,7984614,18899565,23675321,53810244,41356622,25097921,14179639,2079062,322578,8055742
Utah,2010,4250259,570301,2171889,1508069,4326951,3325292,2117551,1002867,204874,103233,786272
Vermont,2010,1749898,173528,1326528,249842,1719870,1436563,890606,509650,36307,11271,65751
Virginia,2010,14937195,1532041,5489710,7915444,14919831,13193598,8049137,4654459,490002,75525,1127484
Washington,2010,11919090,1400984,6931430,3586676,11820814,9781484,5934710,3402730,444044,59192,1516372
West Virginia,2010,3176874,513794,1677745,985335,3484593,3248702,1978226,1094980,175496,28906,191662
Wisconsin,2010,11289720,1115342,4951919,5222459,11116821,9829044,5994721,3455651,378672,107039,617744
Wyoming,2010,1718605,123942,880916,713747,1696177,1333567,787627,504838,41102,8187,340678
Alabama,2011,7376725,1077070,3965614,2334041,7411768,6584879,3844055,2295909,444915,114225,564183
Alaska,2011,2357828,420152,1416163,521513,2443898,2196027,1215062,908567,72398,8633,180137
Arizona,2011,8429186,1245814,3054501,4128871,8610417,7256263,3977772,2935127,343364,7269,741124
Arkansas,2011,5176362,827026,3701224,648112,5669431,4451907,2559292,1655684,236931,439660,605857
California,2011,70953331,9990221,37752712,23210398,69847705,56750195,34225248,20266047,2258900,1227260,6523770
Colorado,2011,8747471,969288,3493923,4284260,8676451,7289293,4204486,2804955,279852,58415,827354
Connecticut,2011,9783168,796156,3185501,5801511,9439182,8502401,5363942,2844490,293969,39787,516116
Delaware,2011,1759170,192182,1010026,556962,1808905,1525709,964284,497158,64267,25309,182497
District of Columbia,2011,1283071,155505,0,1127566,1297175,951820,525185,389526,37109,19023,326332
Florida,2011,26453693,4710376,9069119,12674198,26991946,23428499,14284224,8077593,1066682,570456,2217069
Georgia,2011,18030043,2267161,7492489,8270393,17187481,15524064,9671343,5005101,847620,26985,1368395
Hawaii,2011,2499513,347363,2088870,63280,2259104,2156001,1253534,786284,116183,17627,85476
Idaho,2011,2089982,292602,1320153,477227,1960818,1813181,1104553,613667,94961,4002,83524
Illinois,2011,29507584,2894897,10030682,16582005,28525858,24682091,14636402,9271610,774079,148572,1884866
Indiana,2011,12125155,1024389,7340384,3760382,11113533,9595810,5609296,3548729,437785,62899,843671
Iowa,2011,6098470,596688,2537754,2964028,6057294,4839681,2995991,1638449,205241,24996,861361
Kansas,2011,5538869,612100,2945175,1981594,5662146,4586355,2839803,1530694,215858,4635,851777
Kentucky,2011,7104589,1164688,3704150,2235751,7253850,6264504,3663998,2238626,361880,65109,733357
Louisiana,2011,8022917,1497262,3269321,3256334,8218870,7131976,4162557,2582814,386605,20193,809639
Maine,2011,2654366,289290,1043281,1321795,2728535,2422582,1431522,874220,116840,28194,164850
Maryland,2011,13443940,1255964,5508339,6679637,13247697,11818032,7205515,4150447,462070,20286,989839
Massachusetts,2011,15396681,1197383,5783240,8416058,15150898,13660197,8685894,4583586,390717,55255,817228
Michigan,2011,19374026,2525528,9845508,7002990,18469948,15758614,9198775,6024406,535433,327150,1273466
Minnesota,2011,10912368,842906,6289912,3779550,10612480,8557413,5644771,2520057,392585,412619,1016875
Mississippi,2011,4516742,1006465,2071467,1438810,4345783,3888831,2238165,1393211,257455,16788,368906
Missouri,2011,9915356,1344755,3828396,4742205,9842505,8437702,5100879,2975252,361571,170069,849819
Montana,2011,1631810,264517,713642,653651,1655584,1505725,902615,540180,62930,9558,103728
Nebraska,2011,3879388,571969,1153077,2154342,3676326,3222194,2101943,951912,168339,2773,349683
Nevada,2011,4146577,447002,2359671,1339904,4258855,3663222,2161550,1377125,124547,25393,323746
New Hampshire,2011,2947007,184768,1061011,1701228,3001244,2579907,1654129,855476,70302,7082,206241
New Jersey,2011,26242376,1283994,9331426,15626956,25716298,23506135,14113108,8634990,758037,151419,917304
New Mexico,2011,3591330,636436,2355210,599684,3694437,3005619,1744548,1124390,136681,3615,616478
New York,2011,57753776,5118477,23188002,29447297,59446908,53333447,37834196,14460678,1038573,378220,4653802
North Carolina,2011,14409515,2046954,7488570,4873991,13767024,12037367,7566249,3843709,627409,68904,980517
North Dakota,2011,1309044,186844,630430,491770,1312226,1099271,660944,360118,78209,8143,124967
Ohio,2011,23488657,2533882,9834235,11120540,23010396,19304763,11074360,7570565,659838,276115,2494681
Oklahoma,2011,5835133,968529,2741058,2125546,5644988,5022629,2866601,1814927,341101,26071,510428
Oregon,2011,6112484,848637,2792762,2471085,6317635,5531352,3261190,2071303,198859,26044,461979
Pennsylvania,2011,28492510,3371827,9261234,15859449,28810721,22571469,13761915,7947108,862446,344693,2189151
Rhode Island,2011,2212352,234111,768713,1209528,2198940,2047883,1260021,736651,51211,42609,43726
South Carolina,2011,7772777,1041572,3338715,3392490,7961448,6468397,3689782,2428477,350138,38223,1016126
South Dakota,2011,1297661,262395,374648,660618,1350617,1107196,661519,390655,55022,4735,199636
Tennessee,2011,8679893,1272825,3955476,3451592,8961443,7977696,4947165,2635217,395314,84407,661195
Texas,2011,51023159,7818075,19623258,23581826,52691826,41623246,25155007,14325757,2142482,331750,6556210
Utah,2011,4141253,500782,2058112,1582359,4195916,3388111,2157337,1018548,212226,103438,592949
Vermont,2011,1686499,106823,1329172,250504,1722515,1440666,888388,511825,40453,12965,63655
Virginia,2011,14655345,1427301,5351177,7876867,14675815,12968355,7861076,4602566,504713,74577,1075067
Washington,2011,11905941,1367629,6758505,3779807,11928408,9890471,6007184,3427282,456005,58222,1467334
West Virginia,2011,3475642,510256,1927726,1037660,3670119,3342238,2010407,1160212,171619,40247,269242
Wisconsin,2011,11664303,1002909,5226954,5434440,11440718,10175521,6138402,3668777,368342,111010,541918
Wyoming,2011,1650621,154955,878979,616687,1656850,1397339,825783,528352,43204,8842,234408
Alabama,2012,7136949,789954,3948651,2398344,7222161,6377867,3695221,2239569,443077,115581,580949
Alaska,2012,2383402,352005,1507913,523484,2483320,2274160,1255757,947153,71250,11357,145219
Arizona,2012,7934798,1050228,2845535,4039035,8054662,7126082,3917564,2856528,351990,8939,699033
Arkansas,2012,5169926,666267,3823172,680487,5299969,4479616,2548056,1683928,247632,30295,612420
California,2012,69016392,8793325,36413273,23809794,70191877,56965761,34213049,20393761,2358951,1129393,6736656
Colorado,2012,8616009,705634,3702427,4207948,8472536,7213377,4174705,2751179,287493,66447,697434
Connecticut,2012,10070907,509564,3735476,5825867,9791336,8722495,5485615,2932123,304757,40420,637389
Delaware,2012,1855867,183793,1090060,582014,1915966,1650033,1053066,531313,65654,39480,149584
District of Columbia,2012,1331006,137742,0,1193264,1189542,899032,594156,266716,38160,6620,283890
Florida,2012,24139266,3068321,8702317,12368628,25352047,22257388,13558844,7607362,1091182,531446,1837264
Georgia,2012,17559894,1862297,7455147,8242450,17400209,15544093,9611118,5043644,889331,28554,1566020
Hawaii,2012,2535038,318728,2161254,55056,2344733,2202298,1262938,814511,124849,18339,124096
Idaho,2012,1981482,266087,1238989,476406,1911706,1781540,1073312,609786,98442,4389,69239
Illinois,2012,29900021,2430413,10142137,17327471,29067543,25065707,14896596,9358604,810507,145664,2032447
Indiana,2012,12395432,1096902,7462594,3835936,11351906,9787556,5659432,3670372,457752,64030,894450
Iowa,2012,6262807,512246,2681035,3069526,6256926,4977681,3072424,1688512,216745,26190,900591
Kansas,2012,5613619,410051,3173205,2030363,5615714,4735708,2935226,1569972,230510,4648,662722
Kentucky,2012,7192430,983232,3920971,2288227,7444529,6403161,3697663,2320305,385193,63713,764062
Louisiana,2012,8477993,1527734,3588546,3361713,8504567,7572150,4365583,2793437,413130,20450,777379
Maine,2012,2611056,239982,1012326,1358748,2625759,2344704,1376755,887596,80353,27768,131394
Maryland,2012,13752912,859635,5980541,6912736,13212140,11618843,7140620,4161605,316618,20065,1139120
Massachusetts,2012,15763456,979175,6200945,8583336,15696061,13854991,8801567,4642633,410791,56797,1159931
Michigan,2012,18622316,1866406,9796808,6959102,18063824,15428800,9070480,5802009,556311,306518,1200582
Minnesota,2012,10681609,740098,6642440,3299071,10696348,8633860,5672620,2555775,405465,420753,1034162
Mississippi,2012,4477828,795110,2195720,1486998,4423270,4005533,2291333,1449935,264265,17371,329375
Missouri,2012,10022622,994192,4115324,4913106,9910617,8428452,5056789,2994397,377266,175761,891474
Montana,2012,1628318,214164,761029,653125,1652537,1488438,888206,536815,63417,10391,117001
Nebraska,2012,3764056,366016,1166374,2231666,3880517,3393062,2247992,984922,160148,5260,374671
Nevada,2012,4053945,403548,2401035,1249362,4109706,3523753,2049362,1336995,137396,22547,321145
New Hampshire,2012,2963221,187243,1029325,1746653,2961684,2594853,1654634,868513,71706,6484,160056
New Jersey,2012,27574528,1371038,10401941,15801549,26432652,24205658,14491817,8921990,791851,151178,940577
New Mexico,2012,3478709,491732,2380982,605995,3616691,2925037,1688871,1097238,138928,3812,615427
New York,2012,58981073,3769627,23314292,31897154,60216421,54205296,38431932,14662331,1111033,379445,4094920
North Carolina,2012,12788659,1831015,7648102,3309542,13418244,11990325,7521325,3817233,651767,65029,728580
North Dakota,2012,1345371,160050,658255,527066,1380563,1139350,685786,368323,85241,8593,160904
Ohio,2012,22799205,2007733,9336277,11455195,22662376,19049279,10861218,7524489,663572,260884,2416140
Oklahoma,2012,5824963,773014,2869071,2182878,5746979,5148240,2736786,2051034,360420,25579,496119
Oregon,2012,6124872,550894,3038052,2535926,6314092,5511201,3250376,2057965,202860,25614,448562
Pennsylvania,2012,27881568,2145208,9561500,16174860,27851918,22011331,13450420,7682906,878005,292589,1735626
Rhode Island,2012,2208278,204682,779000,1224596,2190431,2053183,1272285,727287,53611,41602,33633
South Carolina,2012,7889771,848254,3586738,3454779,7948441,6608506,3749691,2489094,369721,38928,869025
South Dakota,2012,1298723,212615,395054,691054,1296971,1085710,649023,379791,56896,6270,172398
Tennessee,2012,8983224,1257953,4017946,3707325,9256522,8283139,5151260,2693334,438545,75629,671532
Texas,2012,49979753,6140296,19801928,24037529,50215314,40020792,23902458,13954303,2164031,332982,5538370
Utah,2012,4217360,426702,2158049,1632609,4330417,3437437,2161779,1052249,223409,111090,666528
Vermont,2012,1754161,124451,1372320,257390,1726321,1464793,904254,518561,41978,12053,45788
Virginia,2012,14940479,1365551,5564504,8010424,15129464,13403670,8123166,4744530,535974,75795,1078796
Washington,2012,11955582,1057045,7001110,3897427,12187889,10069776,5866729,3735795,467252,57564,1552074
West Virginia,2012,3970941,432223,2014017,1524701,3536971,3228445,1893954,1155259,179232,41741,245082
Wisconsin,2012,11139967,907311,4786356,5446300,10724377,9532423,5631108,3525882,375433,115671,449246
Wyoming,2012,1664983,144728,851896,668359,1670728,1430635,845801,540510,44324,8975,213245
Alabama,2013,7197439,811739,3898347,2487353,7487741,6520907,3747993,2317243,455671,121066,643522
Alaska,2013,2545117,320938,1707449,516730,2665933,2382579,1324649,982442,75488,11677,248505
Arizona,2013,8164324,1178356,2934165,4051803,7600581,6829680,3824071,2643742,361867,6883,558466
Arkansas,2013,5067546,572096,3847045,648405,5226339,4492507,2545564,1694335,252608,29084,533975
California,2013,68868516,7836263,35141208,25891045,69727119,57247493,34194878,20595508,2457107,1004652,6160059
Colorado,2013,8826868,696266,3693829,4436773,8699125,7365895,4292898,2773716,299281,65947,758041
Connecticut,2013,10319361,434543,3870444,6014374,9758850,8848218,5562212,2966636,319370,40511,487318
Delaware,2013,1930466,151096,1124112,655258,1924626,1647576,1030897,560882,55797,41925,157935
District of Columbia,2013,1300036,129874,0,1170162,1308438,926853,559940,332997,33916,5909,375676
Florida,2013,24681548,3027018,9455562,12198968,25245400,22599992,13833236,7622221,1144535,544879,1411455
Georgia,2013,17459504,1805878,7580785,8072841,17317504,15415801,9555687,4956142,903972,28319,1632844
Hawaii,2013,2331770,310778,1962923,58069,2345917,2184393,1283872,770643,129878,14868,146656
Idaho,2013,2015534,237912,1278155,499467,1967676,1847643,1113400,631575,102668,4596,62882
Illinois,2013,30057886,2311235,10382540,17364111,29517831,25625712,15285224,9509657,830831,155351,1942608
Indiana,2013,12236713,980013,7503451,3753249,11211155,9595915,5535933,3595471,464511,62739,862576
Iowa,2013,6281345,459132,3118413,2703800,6318241,5151188,3174989,1748683,227516,26509,783793
Kansas,2013,5667223,420820,3193838,2052565,5621023,4804080,2969201,1595974,238905,4127,616590
Kentucky,2013,7216175,867735,3960822,2387618,7413896,6381478,3663594,2323851,394033,63046,729064
Louisiana,2013,8121179,1229248,3370399,3521532,7940880,7040408,3963343,2657751,419314,16853,644212
Maine,2013,2650346,196466,1029166,1424714,2535405,2307528,1351259,867538,88731,28116,70345
Maryland,2013,13814727,828432,6093652,6892643,13284637,11882710,7303090,4243954,335666,22253,955586
Massachusetts,2013,16114783,818054,6428534,8868195,16201905,14265207,9097982,4759997,407228,59822,1283156
Michigan,2013,18270327,1636324,9882361,6751642,17468264,15120975,8885537,5675448,559990,288466,962506
Minnesota,2013,10848720,646542,6792440,3409738,10942019,8898795,5826404,2652321,420070,430899,1016760
Mississippi,2013,4444064,707522,2213501,1523041,4370050,4007010,2274357,1465175,267478,16611,285801
Missouri,2013,10103589,894168,4235564,4973857,10001763,8610701,5139610,3082015,389076,177857,833040
Montana,2013,1671053,210593,788329,672131,1679521,1517227,907018,545326,64883,9746,111496
Nebraska,2013,3870164,366241,1217306,2286617,3913038,3511322,2318463,1026626,166233,1800,298231
Nevada,2013,4131800,392009,2556472,1183319,4057443,3600708,2058538,1396907,145263,21551,222161
New Hampshire,2013,2976317,163890,1020089,1792338,2878534,2593029,1642945,879507,70577,5911,72588
New Jersey,2013,28070096,1145079,10986132,15938885,28179900,25412402,15489942,9131634,790826,427918,933676
New Mexico,2013,3518621,519318,2401884,597419,3536546,2948823,1709797,1096508,142518,2812,514077
New York,2013,59623918,3335657,23632698,32655563,60505950,54697421,38756656,14846782,1093983,368393,3982327
North Carolina,2013,12729402,1579889,7891977,3257536,13650536,12318805,7681386,3957680,679739,64298,653058
North Dakota,2013,1405349,145905,685348,574096,1516575,1210237,718970,400607,90660,4335,224615
Ohio,2013,22536516,1721213,8990516,11824787,22015797,18830757,10800145,7376469,654143,262742,1998557
Oklahoma,2013,5878111,715944,2890048,2272119,5952199,5306887,2800189,2127265,379433,24674,557341
Oregon,2013,6077498,471682,3041825,2563991,6228197,5532427,3261733,2067538,203156,25343,343353
Pennsylvania,2013,28484645,2049113,9764558,16670974,28495118,24073340,15456205,7737010,880125,298438,1501024
Rhode Island,2013,2282659,193393,841875,1247391,2231413,2084430,1265936,765178,53316,43405,35089
South Carolina,2013,8254462,814137,3819285,3621040,8224795,6941219,3933177,2621911,386131,40531,853410
South Dakota,2013,1316613,194731,408009,713873,1332496,1112853,663258,390637,58958,6041,179586
Tennessee,2013,9008032,1165801,4097627,3744604,9248235,8431482,5191269,2780452,459761,75054,564756
Texas,2013,49734537,5695947,18873046,25165544,50674724,40644082,24226519,14150552,2267011,318406,5472152
Utah,2013,4300793,409774,2235917,1655102,4584624,3686125,2361179,1097484,227462,81903,698249
Vermont,2013,1817307,114697,1431621,270989,1809138,1519348,935593,538854,44901,12125,55825
Virginia,2013,15322318,1108879,5874323,8339116,15634918,13868515,8445746,4874065,548704,77376,1089417
Washington,2013,12242231,1042200,7159428,4040603,12097549,10163959,5911337,3777476,475146,62115,1443002
West Virginia,2013,3486366,383169,2027414,1075783,3488877,3142606,1828234,1130079,184293,40780,284685
Wisconsin,2013,11097447,827432,5587013,4683002,10845059,9562304,5637545,3551036,373723,123127,521352
Wyoming,2013,1695967,113501,881114,701352,1675477,1437033,846872,546422,43739,8262,213920
Alabama,2014,7357267,794090,4031547,2531630,7587737,6683742,3824295,2390530,468917,118725,580934
Alaska,2014,2663647,309525,1824373,529749,2727056,2403994,1346457,982843,74694,11620,269107
Arizona,2014,8361708,1102980,3182285,4076443,8109460,7146623,3902565,2858103,385955,75361,678228
Arkansas,2014,5193218,552738,4006889,633591,5242672,4618286,2609867,1753929,254490,27588,424314
California,2014,72389126,7415061,38410554,26563511,72506810,59730095,35539425,21594573,2596097,985692,6124103
Colorado,2014,9162406,681230,3961719,4519457,9286626,7781427,4470568,3002964,307895,65725,932776
Connecticut,2014,10743919,420593,4141590,6181736,10201500,9320739,5889381,3128453,302905,40710,447290
Delaware,2014,1954374,133055,1137764,683555,1988535,1690486,1050647,582448,57391,46192,171618
District of Columbia,2014,1342220,134959,0,1207261,1313289,908168,503349,375966,28853,5556,399565
Florida,2014,26077462,3112027,10460928,12504507,26523658,23709726,14542370,7948773,1218583,570237,1468023
Georgia,2014,17821620,1804212,7837335,8180073,17668352,15773579,9635641,5197804,940134,27209,1642099
Hawaii,2014,2696766,286988,2354601,55177,2504144,2316589,1386369,798677,131543,14355,173200
Idaho,2014,2084970,232593,1319582,532795,2012852,1863424,1108768,650395,104261,4914,91323
Illinois,2014,31085621,2301827,11163462,17620332,31080869,27150525,16323537,10012961,814027,161972,1999969
Indiana,2014,12399402,933891,7632238,3833273,11136045,9619211,5513142,3641179,464890,61288,889924
Iowa,2014,6455928,455586,3247115,2753227,6541553,5352654,3266694,1853835,232125,27708,801317
Kansas,2014,5813985,419415,3265012,2129558,5957954,4932888,3033016,1657449,242423,4388,813093
Kentucky,2014,7229857,825742,3966872,2437243,7346219,6396681,3659917,2345545,391219,62848,620745
Louisiana,2014,8352703,1272004,3455315,3625384,8140649,7152807,4026042,2731011,395754,13756,706668
Maine,2014,2675648,182961,1032280,1460407,2550302,2338887,1369822,886844,82221,27127,66571
Maryland,2014,13982544,816033,6186736,6979775,13712839,12123368,7475952,4303895,343521,23527,1131199
Massachusetts,2014,16609204,791029,6587492,9230683,16518383,14803780,9407351,4969348,427081,60984,1028761
Michigan,2014,18457253,1563397,10073758,6820098,17358365,15149444,8858564,5735894,554986,276085,856907
Minnesota,2014,11168633,630445,7603409,2934779,11300786,9223534,5986788,2803239,433507,446896,1069928
Mississippi,2014,4480105,664697,2243098,1572310,4463078,4068950,2279076,1521319,268555,18595,316494
Missouri,2014,10256615,895743,4267069,5093803,10324249,8818585,5243167,3183894,391524,186056,919482
Montana,2014,1729712,201528,822788,705396,1754324,1586818,949120,570780,66918,10275,121753
Nebraska,2014,4005091,318179,1283012,2403900,4008633,3604514,2371149,1059275,174090,1797,307828
Nevada,2014,4203255,381596,2651854,1169805,4043820,3666572,2104452,1413964,148156,22598,161354
New Hampshire,2014,3042994,161989,1003995,1877010,2960615,2665205,1682021,913353,69831,5919,87603
New Jersey,2014,28454548,1142878,11047025,16264645,27742203,24982767,14956606,9205196,820965,452433,895858
New Mexico,2014,3601387,466320,2505492,629575,3576216,2942214,1709599,1088329,144286,2898,562323
New York,2014,61337112,3347393,24830862,33158857,62556193,56725441,40168920,15381372,1175149,340784,4060304
North Carolina,2014,13462754,1529624,7849343,4083787,13540706,12268886,7573296,4015292,680298,67037,609013
North Dakota,2014,1568997,155894,901032,512071,1597210,1276186,758669,422005,95512,5074,239992
Ohio,2014,23297509,1692769,9492461,12112279,21847582,19102381,11350255,7111920,640206,258638,1546152
Oklahoma,2014,6034336,690122,2983860,2360354,6203538,5423397,2833650,2210336,379411,25588,687788
Oregon,2014,6621363,521463,3393147,2706753,6453635,5805013,3437466,2151154,216393,26582,311077
Pennsylvania,2014,29068069,1812609,10272392,16983068,28620630,24125452,15352999,7889064,883389,279690,1566997
Rhode Island,2014,2313010,186551,867512,1258947,2258076,2117296,1277445,782773,57078,35632,37897
South Carolina,2014,8417698,812536,3902923,3702239,8452743,7177722,4035914,2747427,394381,36196,862750
South Dakota,2014,1345549,186216,413544,745789,1355439,1171127,696235,413254,61638,6516,146035
Tennessee,2014,9237782,1095377,4315952,3826453,9432883,8566173,5296570,2805578,464025,72216,549104
Texas,2014,52776853,5643178,20510815,26622860,53096761,42525153,25364709,14803918,2356526,325964,5766846
Utah,2014,4405929,385210,2363055,1657664,4385896,3707708,2336613,1139969,231126,71668,490911
Vermont,2014,1895044,102434,1495453,297157,1876197,1555853,955495,553032,47326,12388,56780
Virginia,2014,15347862,1009659,5994897,8343306,15690444,13975184,8464947,4964725,545512,73875,1041633
Washington,2014,13040197,1030232,7833024,4176941,12806300,10791282,6267816,4035948,487518,62070,1525815
West Virginia,2014,3514889,351957,2033948,1128984,3499873,3155881,1823665,1147776,184440,38384,286099
Wisconsin,2014,11330253,830568,5709579,4790106,11255186,9677528,5685955,3616770,374803,123628,767074
Wyoming,2014,1772633,112709,965213,694711,1775999,1464920,865932,555761,43227,7488,287977
